Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Assembly Level
GCA_964069925.1	INEI106413	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964069945.1	INEI106375	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964069955.1	INEI106189	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964069965.1	INEI106197	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070035.1	INEI106414	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070055.1	INEI106116	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070095.1	INEI106372	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070165.1	INEI106201	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070215.1	INEI106200	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070225.1	INEI106360	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070275.1	INEI106535	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070415.1	INEI106147	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070455.1	INEI106556	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070485.1	INEI106361	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070495.1	INEI106564	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070515.1	INEI106168	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070555.1	INEI106512	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070655.1	INEI106091	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070705.1	INEI106260	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070745.1	INEI106280	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070775.1	INEI106266	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070785.1	INEI106239	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070805.1	INEI106269	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070925.1	INEI106473	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070945.1	INEI106433	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964070955.1	INEI106377	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071005.1	INEI106549	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071155.1	INEI106359	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071165.1	INEI106325	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071315.1	INEI106439	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071355.1	INEI106453	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071365.1	INEI106287	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071395.1	INEI106292	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071415.1	INEI106365	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071465.1	INEI106358	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071485.1	INEI106471	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071495.1	INEI106363	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071515.1	INEI106381	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071545.1	INEI106462	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071555.1	INEI106460	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071645.1	INEI106373	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071755.1	INEI106367	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071835.1	INEI106560	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071915.1	INEI106174	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071935.1	INEI106282	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071945.1	INEI106545	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964071995.1	INEI107077	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072045.1	INEI107081	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072055.1	INEI106095	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072065.1	INEI107056	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072095.1	INEI106993	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072145.1	INEI106090	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072185.1	INEI106563	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072195.1	INEI107070	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072325.1	INEI106253	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072335.1	INEI107199	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072395.1	INEI107109	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072415.1	INEI107130	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072425.1	INEI107207	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072475.1	INEI107197	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072485.1	INEI106979	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072605.1	INEI107223	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072665.1	INEI106267	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072725.1	INEI106299	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072735.1	INEI106240	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072755.1	INEI106263	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072765.1	INEI106264	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072815.1	INEI106274	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072835.1	INEI106281	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072845.1	INEI106270	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964072865.1	INEI106319	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073075.1	INEI106670	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073095.1	INEI106976	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073195.1	INEI106661	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073275.1	INEI107048	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073325.1	INEI106978	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073365.1	INEI106996	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073435.1	INEI106104	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073545.1	INEI106667	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073575.1	INEI106198	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073605.1	INEI106663	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073615.1	INEI106186	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073675.1	INEI106668	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073695.1	INEI106191	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073715.1	INEI106571	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073745.1	INEI106188	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073785.1	INEI106566	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964073905.1	INEI106196	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074005.1	INEI106671	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074035.1	INEI106692	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074155.1	INEI106084	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074215.1	INEI107089	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074235.1	INEI106749	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074285.1	INEI107087	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074395.1	INEI107090	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074475.1	INEI107098	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074535.1	INEI107102	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074555.1	INEI106068	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074595.1	INEI106073	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074625.1	INEI106083	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074725.1	INEI107202	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074785.1	INEI106995	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074815.1	INEI107198	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074935.1	INEI107229	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074965.1	INEI107164	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964074975.1	INEI107222	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075085.1	INEI107745	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075095.1	INEI107791	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075175.1	INEI107898	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075185.1	INEI107839	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075295.1	INEI107806	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075355.1	INEI107903	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075415.1	INEI107848	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075435.1	INEI107762	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075485.1	INEI107766	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075495.1	INEI107892	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075505.1	INEI107816	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075525.1	INEI107885	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075555.1	INEI107893	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075565.1	INEI107726	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075575.1	INEI107817	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075645.1	INEI107808	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075755.1	INEI107847	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075765.1	INEI107800	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075805.1	INEI107742	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964075925.1	INEI107910	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964076025.1	INEI107895	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964076035.1	INEI107747	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964076065.1	INEI107737	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964076095.1	INEI107907	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964076185.1	INEI107577	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964076275.1	INEI107514	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964076505.1	INEI107585	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964076515.1	INEI107607	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964076555.1	INEI107673	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964076625.1	INEI107845	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964076655.1	INEI106544	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964076775.1	INEI107780	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964076785.1	INEI107634	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964076875.1	INEI107927	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964077055.1	INEI107652	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964077165.1	INEI107636	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964077285.1	INEI107582	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964077305.1	INEI107597	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964077505.1	INEI107560	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964077575.1	INEI107593	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964077745.1	INEI107666	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964077785.1	INEI107642	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964077825.1	INEI107656	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964077845.1	INEI107648	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964077915.1	INEI106654	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964077925.1	INEI106676	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964077985.1	INEI106659	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078055.1	INEI107082	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078115.1	INEI107237	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078135.1	INEI107096	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078155.1	INEI107041	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078185.1	INEI107166	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078195.1	INEI106568	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078205.1	INEI107053	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078215.1	INEI107103	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078265.1	INEI107055	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078375.1	INEI107728	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078395.1	INEI106752	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078465.1	INEI106735	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078475.1	INEI106664	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078495.1	INEI106649	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078595.1	INEI106657	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078605.1	INEI106643	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078705.1	INEI106986	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078805.1	INEI107073	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078855.1	INEI107148	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078885.1	INEI107072	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964078945.1	INEI107219	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079085.1	INEI108364	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079105.1	INEI108805	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079115.1	INEI108718	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079155.1	INEI108370	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079205.1	INEI108873	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079225.1	INEI108688	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079355.1	INEI108678	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079375.1	INEI108736	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079445.1	INEI108384	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079515.1	INEI108753	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079525.1	INEI108670	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079545.1	INEI108755	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079565.1	INEI108648	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079575.1	INEI108842	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079705.1	INEI108676	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079755.1	INEI108714	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079765.1	INEI108642	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079795.1	INEI108724	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079855.1	INEI108802	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079885.1	INEI108834	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079965.1	INEI108738	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079975.1	INEI108680	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964079985.1	INEI108690	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080015.1	INEI108788	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080035.1	INEI108797	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080075.1	INEI108725	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080095.1	INEI108796	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080125.1	INEI108371	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080145.1	INEI108134	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080225.1	INEI108734	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080245.1	INEI108125	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080255.1	INEI108318	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080395.1	INEI108136	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080415.1	INEI108374	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080475.1	INEI108730	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080485.1	INEI108740	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080525.1	INEI108262	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080615.1	INEI108111	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080705.1	INEI108164	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080735.1	INEI108737	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080755.1	INEI108264	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080765.1	INEI108259	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080795.1	INEI108720	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080945.1	INEI108752	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080955.1	INEI108750	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080985.1	INEI108759	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964080995.1	INEI108749	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964081015.1	INEI108808	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964081045.1	INEI108751	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964081075.1	INEI108807	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964081095.1	INEI108804	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964081145.1	INEI108817	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964081155.1	INEI108320	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964081185.1	INEI108379	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964081215.1	INEI108152	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964081235.1	INEI108837	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964081535.1	INEI108843	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964081695.1	INEI108260	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964081925.1	INEI108311	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964081955.1	INEI108360	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082005.1	INEI108274	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082065.1	INEI108361	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082085.1	INEI108221	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082095.1	INEI108080	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082115.1	INEI108363	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082205.1	INEI108366	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082275.1	INEI109398	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082285.1	INEI109381	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082345.1	INEI109387	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082355.1	INEI109285	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082365.1	INEI109357	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082375.1	INEI109300	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082425.1	INEI109359	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082435.1	INEI109384	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082455.1	INEI109358	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082465.1	INEI109392	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082475.1	INEI108876	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082485.1	INEI109361	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082495.1	INEI109385	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082515.1	INEI109192	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082555.1	INEI109264	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082565.1	INEI109316	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082625.1	INEI108909	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082665.1	INEI109304	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082695.1	INEI109262	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082705.1	INEI109397	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082775.1	INEI109312	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082845.1	INEI109236	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082875.1	INEI109276	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082885.1	INEI109379	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082895.1	INEI109226	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964082945.1	INEI109394	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083015.1	INEI109274	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083025.1	INEI109352	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083035.1	INEI108918	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083075.1	INEI109199	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083085.1	INEI109353	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083095.1	INEI109354	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083115.1	INEI109191	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083125.1	INEI109277	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083225.1	INEI108919	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083235.1	INEI109307	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083245.1	INEI109259	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083285.1	INEI109320	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083315.1	INEI109338	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083355.1	INEI108925	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083375.1	INEI109380	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083385.1	INEI108917	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083425.1	INEI109211	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083435.1	INEI108959	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083455.1	INEI109249	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083495.1	INEI109208	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083505.1	INEI108907	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083575.1	INEI108910	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083585.1	INEI109194	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083605.1	INEI109225	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083675.1	INEI108929	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083685.1	INEI109202	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083705.1	INEI108960	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083715.1	INEI108958	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083725.1	INEI109313	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083745.1	INEI109321	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
GCA_964083765.1	INEI109311	Severe acute respiratory syndrome coronavirus 2	2697049	Chromosome
